frame,motion
0,448403
1,2379662
2,1005469
3,882964
4,1099674
5,1238631
6,1270086
7,1271157
8,1700311
9,3926180
10,3298366
11,933581
12,837415
13,1706711
14,0
15,685366
16,5907304
17,0
18,1583853
19,1559185
20,1216705
21,0
22,1074981
23,929733
24,0
25,907731
26,774582
27,0
28,696197
29,0
30,722778
31,746900
32,662515
33,0
34,685406
35,683749
36,0
37,585610
38,572848
39,0
40,583595
41,0
42,541565
43,525992
44,514259
45,0
46,511032
47,520895
48,0
49,544236
50,514329
51,0
52,512410
53,498377
54,0
55,497710
56,0
57,490925
58,481830
59,481391
60,0
61,502199
62,499713
63,0
64,548509
65,668490
66,705807
67,0
68,692766
69,0
70,675360
71,689712
72,0
73,689516
74,692407
75,0
76,705522
77,720228
78,721477
79,0
80,705400
81,0
82,691111
83,686694
84,0
85,685873
86,713073
87,0
88,753679
89,770022
90,0
91,753271
92,719476
93,0
94,687267
95,661085
96,0
97,642781
98,628647
99,0
100,624999
101,610050
102,0
103,597898
104,566160
105,545532
106,0
107,530765
108,0
109,536372
110,537232
111,0
112,531855
113,524373
114,519821
115,0
116,508094
117,501467
118,0
119,498449
120,0
121,501225
122,510780
123,0
124,517728
125,515772
126,0
127,508293
128,497336
129,484250
130,0
131,475715
132,469228
133,0
134,459906
135,0
136,454526
137,454601
138,461104
139,0
140,467178
141,468449
142,0
143,467872
144,472120
145,0
146,467367
147,0
148,464932
149,470920
150,461478
151,0
152,455870
153,455929
154,0
155,459943
156,465254
157,0
158,485884
159,496737
160,0
161,497635
162,501495
163,0
164,517474
165,585875
166,0
167,677395
168,713331
169,0
170,786644
171,853424
172,0
173,912562
174,0
175,948770
176,958002
177,950310
178,0
179,924495
180,923102
181,0
182,945133
183,966979
184,0
185,972912
186,939166
187,0
188,884789
189,814037
190,0
191,659536
192,648476
193,0
194,630908
195,588015
196,0
197,584708
198,669341
199,860313
200,0
201,932665
202,0
203,917946
204,821517
205,0
206,810268
207,777668
208,0
209,740891
210,721790
211,701733
212,0
213,730374
214,0
215,828038
216,902109
217,0
218,918309
219,892850
220,0
221,847858
222,835999
223,837004
224,0
225,800614
226,769706
227,0
228,740628
229,0
230,716625
231,695910
232,0
233,675484
234,655710
235,673447
236,0
237,659950
238,640740
239,0
240,754340
241,0
242,851455
243,872373
244,0
245,903425
246,1025264
247,1282338
248,0
249,1374160
250,1376146
251,0
252,1252966
253,0
254,1193189
255,1164643
256,0
257,1108123
258,967167
259,962972
260,0
261,1055738
262,1082689
263,0
264,1000798
265,892288
266,0
267,865951
268,0
269,890080
270,954094
271,2651600
272,0
273,3445130
274,2362435
275,0
276,3209075
277,3608752
278,0
279,2283433
280,0
281,2611758
282,3279133
283,2552084
284,0
285,2020292
286,2959470
287,0
288,2872733
289,1791799
290,0
291,2416250
292,2651526
293,0
294,1601385
295,1780201
296,0
297,2356272
298,2158796
299,0
300,1553740
301,1951595
302,0
303,2128959
304,1710155
305,0
306,2206491
307,2998878
308,0
309,2695050
310,2362125
311,0
312,2495107
313,2337939
314,0
315,1775319
316,1812898
317,0
318,1776565
319,2079922
320,0
321,1721130
322,1730700
323,0
324,1848064
325,1224061
326,0
327,1030919
328,997947
329,0
330,967730
331,762749
332,0
333,750666
334,787241
335,0
336,729003
337,1068694
338,0
339,1638280
340,1849939
341,0
342,1954346
343,2018649
344,1765658
345,0
346,1582102
347,0
348,1148992
349,873352
350,0
351,820123
352,812083
353,0
354,801748
355,801998
356,817818
357,0
358,766664
359,668786
360,0
361,611465
362,0
363,555996
364,536459
365,0
366,503735
367,513103
368,489622
369,0
370,474525
371,470908
372,0
373,467841
374,0
375,458809
376,453041
377,450961
378,0
379,456898
380,450298
381,0
382,454953
383,466486
384,0
385,470144
386,0
387,489589
388,479972
389,0
390,478122
391,499913
392,502683
393,0
394,503093
395,525048
396,0
397,539373
398,542117
399,0
400,539025
401,0
402,509726
403,506477
404,537470
405,0
406,544940
407,550256
408,0
409,524126
410,498683
411,0
412,479577
413,0
414,478937
415,472164
416,468537
417,0
418,485871
419,520859
420,0
421,588044
422,658319
423,0
424,759837
425,838084
426,0
427,891711
428,914822
429,0
430,895857
431,824179
432,0
433,734517
434,623869
435,0
436,572743
